Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-05-03,INFY,EQ,1201.05,1202.75,1212.2,1171.8,1177.95,1177.8,1190.11,3412405,406114957225000.0,132901,2158470,0.6325000000000001
2016-05-04,INFY,EQ,1177.8,1181.0,1193.0,1170.65,1190.0,1188.85,1182.72,2906421,343748434355000.0,106651,1940064,0.6675
2016-05-05,INFY,EQ,1188.85,1195.15,1199.0,1181.1,1195.45,1192.45,1189.58,3151334,374875904320000.0,137968,2090748,0.6634000000000001
2016-05-06,INFY,EQ,1192.45,1189.8,1189.8,1177.05,1179.0,1181.5,1181.92,1298360,153455184740000.0,54186,743792,0.5729
2016-05-09,INFY,EQ,1181.5,1182.0,1201.55,1180.6,1199.85,1199.05,1192.94,2561839,305612420470000.0,81316,1718212,0.6707
2016-05-10,INFY,EQ,1199.05,1202.5,1216.65,1196.6,1211.95,1212.8,1206.66,1697852,204873552590000.0,75786,1019801,0.6006
2016-05-11,INFY,EQ,1212.8,1198.5,1214.7,1192.5,1204.0,1201.85,1203.69,1854944,223278313080000.03,64272,1006994,0.5429
2016-05-12,INFY,EQ,1201.85,1203.9,1213.0,1196.8,1210.8,1210.0,1205.68,1703466,205384224515000.0,77725,1118347,0.6565000000000001
2016-05-13,INFY,EQ,1210.0,1206.0,1210.0,1192.15,1208.0,1207.25,1202.44,2826032,339814190445000.0,81828,2104685,0.7447
2016-05-16,INFY,EQ,1207.25,1210.2,1223.65,1205.0,1212.8,1215.0,1214.69,2266939,275362361410000.0,77520,1493929,0.659
2016-05-17,INFY,EQ,1215.0,1220.0,1225.75,1208.15,1213.55,1214.25,1219.27,1898147,231434553060000.0,75775,1249282,0.6581999999999999
2016-05-18,INFY,EQ,1214.25,1199.0,1214.0,1197.9,1212.0,1209.85,1204.37,2128298,256326047955000.03,60053,1398184,0.6569
2016-05-19,INFY,EQ,1209.85,1210.95,1216.15,1201.0,1201.15,1205.75,1208.41,1977200,238925858565000.0,63251,1357458,0.6866
2016-05-20,INFY,EQ,1205.75,1205.0,1219.5,1200.0,1200.9,1201.6,1209.24,1997274,241519255975000.0,72124,1295982,0.6489
2016-05-23,INFY,EQ,1201.6,1203.4,1205.15,1185.0,1188.2,1188.0,1191.44,2292973,273193585015000.0,65785,1466912,0.6397
2016-05-24,INFY,EQ,1188.0,1191.05,1191.75,1177.6,1190.0,1187.75,1184.79,1742530,206453471995000.0,85326,1025191,0.5883
2016-05-25,INFY,EQ,1187.75,1194.1,1213.1,1194.1,1209.15,1208.65,1208.82,1928698,233145543969999.97,66033,1310424,0.6794
2016-05-26,INFY,EQ,1208.65,1210.1,1239.8,1210.1,1237.9,1234.15,1227.35,3068218,376576859245000.0,96613,2359311,0.7690000000000001
2016-05-27,INFY,EQ,1234.15,1231.6,1259.5,1231.6,1245.0,1247.5,1249.54,3090382,386155536790000.0,79330,2203990,0.7132
2016-05-30,INFY,EQ,1247.5,1241.5,1272.0,1241.5,1267.0,1267.6,1267.25,2642850,334915936845000.0,92600,1938752,0.7336
2016-05-31,INFY,EQ,1267.6,1265.0,1266.75,1239.0,1250.85,1248.65,1248.07,6891019,860049143854999.9,125656,5308966,0.7704000000000001
2016-06-01,INFY,EQ,1248.65,1246.05,1268.5,1246.0,1256.0,1258.2,1258.82,2420267,304667270020000.0,72781,1589552,0.6568
2016-06-02,INFY,EQ,1258.2,1255.0,1274.9,1254.0,1260.5,1261.55,1264.53,2526776,319517870285000.0,105567,1657794,0.6561
2016-06-03,INFY,EQ,1261.55,1260.05,1279.3,1260.05,1267.0,1266.9,1271.43,1999190,254182247730000.03,70963,1395872,0.6981999999999999
2016-06-06,INFY,EQ,1266.9,1264.9,1277.0,1261.1,1267.25,1266.75,1269.53,2112884,268236214085000.0,77880,1515515,0.7173
2016-06-07,INFY,EQ,1266.75,1267.0,1272.5,1255.1,1256.0,1257.4,1263.86,2846210,359719932875000.0,74826,2314800,0.8133
2016-06-08,INFY,EQ,1257.4,1263.95,1263.95,1235.35,1237.0,1238.1,1242.8,4370685,543189269945000.0,113032,3499200,0.8006000000000001
2016-06-09,INFY,EQ,1238.1,1226.25,1226.25,1180.05,1187.0,1185.5,1191.98,6370402,759338145355000.0,169983,4372019,0.6863
2016-06-10,INFY,EQ,1185.5,1175.4,1190.0,1170.1,1181.0,1180.6,1180.3,3191978,376748248075000.0,112385,1832979,0.5742
2016-06-13,INFY,EQ,1180.6,1176.8,1184.9,1166.0,1180.0,1180.9,1176.48,2643361,310985538285000.0,92827,1839218,0.6958
2016-06-14,INFY,EQ,1180.9,1182.4,1182.4,1167.25,1176.0,1175.0,1173.27,1470364,172513628995000.0,76094,789615,0.537
2016-06-15,INFY,EQ,1175.0,1183.7,1192.65,1179.05,1189.55,1189.95,1184.11,3355786,397361080460000.0,97170,2729841,0.8135
2016-06-16,INFY,EQ,1189.95,1189.5,1189.5,1170.1,1186.3,1186.0,1179.61,2651282,312747704930000.0,96066,1894154,0.7144
2016-06-17,INFY,EQ,1186.0,1189.0,1192.75,1175.1,1179.45,1179.5,1179.51,4257541,502182842125000.0,84979,3232375,0.7592
2016-06-20,INFY,EQ,1179.5,1181.0,1211.8,1179.7,1207.0,1208.75,1199.39,3114783,373584775355000.0,84105,2081632,0.6683
2016-06-21,INFY,EQ,1208.75,1211.2,1214.8,1195.65,1206.5,1206.1,1204.61,2380862,286801385120000.0,57770,1616360,0.6789000000000001
2016-06-22,INFY,EQ,1206.1,1204.0,1211.95,1188.15,1197.35,1199.5,1199.49,1515629,181798876865000.0,52549,1015538,0.67
2016-06-23,INFY,EQ,1199.5,1197.3,1214.85,1193.35,1210.75,1211.6,1203.62,1914313,230410563450000.0,102672,1323086,0.6912
2016-06-24,INFY,EQ,1211.6,1188.0,1199.0,1160.0,1191.2,1194.55,1187.02,3904174,463432265605000.0,80878,2621701,0.6715000000000001
2016-06-27,INFY,EQ,1194.55,1172.05,1183.2,1160.0,1165.05,1166.2,1170.54,2791889,326802732415000.0,95815,1918370,0.6870999999999999
2016-06-28,INFY,EQ,1166.2,1162.8,1172.5,1155.1,1158.95,1159.15,1161.08,3827987,444458623930000.0,140277,2706114,0.7069
2016-06-29,INFY,EQ,1159.15,1169.0,1179.9,1160.2,1177.0,1176.85,1169.63,2729575,319259435345000.0,91172,1881552,0.6893000000000001
2016-06-30,INFY,EQ,1176.85,1180.5,1184.5,1167.95,1171.9,1170.8,1173.73,4673112,548498171900000.0,117143,3365862,0.7203
2016-07-01,INFY,EQ,1170.8,1180.0,1180.0,1170.1,1171.05,1172.4,1174.4,1995956,234404264450000.0,83613,1349474,0.6761
2016-07-04,INFY,EQ,1172.4,1176.2,1194.6,1176.2,1185.0,1183.95,1186.25,2690661,319179227485000.0,97976,1883547,0.7000000000000001
2016-07-05,INFY,EQ,1183.95,1185.0,1187.5,1171.05,1174.0,1175.45,1176.77,1798208,211608401795000.0,61330,1243480,0.6915000000000001
2016-07-07,INFY,EQ,1175.45,1168.7,1171.0,1155.0,1160.0,1157.25,1159.93,2977438,345363186030000.0,131833,2162386,0.7263
2016-07-08,INFY,EQ,1157.25,1163.0,1167.0,1153.5,1161.95,1158.2,1161.28,2775824,322352090280000.0,123336,1961216,0.7065
2016-07-11,INFY,EQ,1158.2,1167.4,1178.7,1160.0,1173.75,1175.05,1169.68,3334441,390024264400000.0,97975,2357850,0.7071
2016-07-12,INFY,EQ,1175.05,1180.0,1180.35,1168.0,1176.0,1176.55,1174.18,3098684,363840371090000.0,90016,2373310,0.7659
2016-07-13,INFY,EQ,1176.55,1180.0,1195.8,1175.2,1192.3,1193.8,1186.15,2637710,312872724560000.0,73207,1749653,0.6633
2016-07-14,INFY,EQ,1193.8,1195.0,1196.05,1164.0,1177.65,1176.25,1179.62,3706664,437243989720000.0,102739,2124160,0.5731
2016-07-15,INFY,EQ,1176.25,1189.5,1189.9,1052.0,1070.8,1072.55,1085.37,30742063,3336659109785000.0,707440,16865349,0.5486
2016-07-18,INFY,EQ,1072.55,1077.25,1084.9,1055.15,1081.0,1081.95,1072.0,7166412,768236181205000.0,240953,3765678,0.5255
2016-07-19,INFY,EQ,1081.95,1088.6,1090.0,1074.1,1088.0,1086.95,1082.75,5202322,563280159895000.0,178219,3912904,0.7521
2016-07-20,INFY,EQ,1086.95,1070.0,1089.9,1070.0,1083.5,1083.1,1081.83,4911448,531336952870000.0,104095,3748211,0.7632
2016-07-21,INFY,EQ,1083.1,1079.0,1087.2,1075.6,1080.1,1079.9,1079.65,4334001,467919373050000.0,130542,3410877,0.787
2016-07-22,INFY,EQ,1079.9,1070.0,1079.9,1066.7,1074.5,1072.45,1070.52,4693269,502424465610000.06,93296,3540180,0.7543000000000001
2016-07-25,INFY,EQ,1072.45,1063.0,1083.25,1063.0,1079.4,1080.85,1075.57,4234776,455480217935000.06,97327,3134896,0.7403000000000001
2016-07-26,INFY,EQ,1080.85,1070.35,1089.9,1070.35,1086.05,1088.7,1085.65,3594805,390269485950000.0,60846,2779791,0.7733
2016-07-27,INFY,EQ,1088.7,1084.7,1096.5,1078.55,1084.0,1085.35,1085.13,3715910,403222960595000.0,65130,2545863,0.6851
